Country,State,City,Name,Operator,Status,Address,Power,Size,Established
USA,Texas,Dickens,Helios Data Center,Galaxy,,"984 Co Rd 112, Afton, Texas 79220",800 MW,,
USA,Texas,Fort Stockton,Fort Stockton Clean Campus,Lancium,,"1753 US Hwy 285, Fort Stockton, Texas 79735",325 MW,,
USA,Texas,Fort Stockton,Project Horizon,Poolside AI,Planned,"5432 Farm-to-Market 1053, Fort Stockton, Texas 79735",2000 MW,,
USA,Texas,Montgomery Tx,Data Journey The Bunker,Data Journey,,"550 Club Dr., Montgomery, Texas 77316",200 MW,"70,000 sq.f.",1981
USA,Texas,Eagle Pass,MDC Eagle Pass - EGP1,MDC Data Centers,,"464 Bliss St, Eagle Pass, Texas 78852",0.5 MW,"1,500 sq.f.",2023
USA,Texas,Austin,Data Foundry - Austin 1,Data Foundry,,"7401 East Ben White Blvd, Austin, Texas 78741",,"21,133 sq.f.",2003
USA,Texas,Austin,Iron Mountain Data Centers Hutto-1,Iron Mountain Data Centers,Planned,"County Rd 404, Hutto, Texas 76574",,,
USA,Texas,Austin,Iron Mountain Data Centers Hutto-4,Iron Mountain Data Centers,Planned,"County Rd 404, Hutto, Texas 76574",,,
USA,Texas,Austin,Bestline Communications,"Bestline Communications, L.P.",,"500 N Capital of Texas Hwy, Bldg 8-200, Austin, Texas 78746",,,
USA,Texas,Austin,LightEdge - Austin II,LightEdge,,"7000 Burleson Road, Suite 400, Austin, Texas 78744",,,1994
USA,Texas,Austin,American Tower EDC Austin,American Tower Corporation,,"1601 West 10th Street, Austin, Texas 78703",,,
USA,Texas,Austin,Project Comal - Bldg 2,KDC,Planned,"1051 County Road 401, Taylor, Texas 76574",,,
USA,Texas,Austin,Project Comal - Bldg 1,KDC,Planned,"1051 County Road 401, Taylor, Texas 76574",,,
USA,Texas,Austin,Project Comal - Bldg 3,KDC,Planned,"1051 County Road 401, Taylor, Texas 76574",,,
USA,Texas,Austin,LightEdge - Austin I,LightEdge,,"2916 Montopolis Drive, Suite 300, Austin, Texas 78741",,,1994
USA,Texas,Austin,LOGIX Austin,LOGIX FIBER NETWORKS,,"1905 E. 6th Street, Austin, Texas 78702",,,
USA,Texas,Austin,3911 County Road 305,Unknown Company,Planned,"3911 County Rd 305, Jarrell, Texas 76537",200 MW,,
USA,Texas,Austin,Rowan Temple,Rowan Digital Infrastructure,Under Construction,"1707-2351 Bob White Rd, Temple, Texas 76501",300 MW,,2027
USA,Texas,Austin,6682 Farm to Market 535,EdgeConneX,Land Banked,"6682 Farm to Market 535, Bastrop, Texas 78602",,,
USA,Texas,Austin,Rowan Moriah Campus,Rowan Digital Infrastructure,,"2810 Bob White Rd, Temple, Texas 76501",300 MW,,
USA,Texas,Austin,Riot Patforms Rockdale,"Riot Platforms, Inc.",,"2721 Charles Martin Hall Rd, Thorndale, Texas 76577",700 MW,,2023
USA,Texas,Austin,Project Comal - Bldg 4,KDC,Planned,"1051 County Road 401, Taylor, Texas 76574",,,
USA,Texas,Austin,Project Comal - Bldg 6,KDC,Planned,"1051 County Road 401, Taylor, Texas 76574",,,
USA,Texas,Austin,Switch THE ROCK Campus,Switch,Planned,"150 Dell Way, Round Rock, Texas 78682",,,
USA,Texas,Austin,Lumen Austin 4,Lumen,,"2916 Montopolis Dr, Austin, Texas 78741",,,
USA,Texas,Austin,Data Foundry - The Data Ranch,Data Foundry,,"4100 Smith School Rd, Austin, Texas 78744",60 MW,295000 sq.f.,2011
USA,Texas,Austin,Lumen Austin 3,Lumen,,"500 B. Chicon Street, Austin, Texas 78702",,,
USA,Texas,Austin,904 Francis Harris Lane,Unknown Company,Canceled,"904 Francis Harris Ln, San Marcos, Texas 78666",,,
USA,Texas,Austin,Project Comal - Bldg 5,KDC,Planned,"1051 County Road 401, Taylor, Texas 76574",,,
USA,Texas,Austin,Project Comal Campus,KDC,Planned,"1051 County Road 401, Taylor, Texas 76574",360 MW,,
USA,Texas,Austin,GTT Austin Data Center,GTT Communications,,"6200 Bridgepoint Parkway, Austin, Texas 78730",,,
USA,Texas,Austin,Data Foundry - Texas 2,Data Foundry,,"4100 Smith School Rd, Bldg 2, Austin, Texas 78744",36 MW,"165,000 sq.f.",2018
USA,Texas,Austin,SDC Austin - Building B,Sabey Data Center Properties LLC,Under Construction,"1300 Louis Henna Blvd, Round Rock, Texas 78664",54 MW,,
USA,Texas,Austin,SDC Austin - Building A,Sabey Data Center Properties LLC,,"1300 Louis Henna Blvd, Round Rock, Texas 78664",,,
USA,Texas,Austin,Lumen Austin 1,Lumen,,"4207 Smith School Road, Austin, Texas 78744",,,
USA,Texas,Austin,Cogent Data Center - Austin,"Cogent Communications, Inc.",,"7301 Metro Center Dr, Suite 100, Austin, Texas 78744",6 MW,23227 sq.f.,
USA,Texas,Austin,Iron Mountain Data Centers Hutto Campus,Iron Mountain Data Centers,Planned,"County Rd 404, Hutto, Texas 76574",,,
USA,Texas,Austin,Thin-nology Data Center,Thin-nology LLC,,"3804 Helios Way, Pflugerville, Texas 78660",2 MW,"5,200 sq.f.",
USA,Texas,Austin,Data Canopy - Austin Trade Center,Data Canopy,,"6110 Trade Center Dr, Ste 100, Austin, Texas 78744",,60000 sq.f.,
USA,Texas,Austin,CyrusOne AUS3 - Austin,CyrusOne Data Centers,,"7100 Metropolis Drive, Austin, Texas 78744",24 MW,"120,000 sq.m.",
USA,Texas,Austin,Iron Mountain Data Centers Hutto-2,Iron Mountain Data Centers,Planned,"County Rd 404, Hutto, Texas 76574",,,
USA,Texas,Austin,Bitdeer Texas,Bitdeer Technologies Group,,"3291 Charles Martin Hall Rd, Rockdale, Texas 76567",563 MW,,2019
USA,Texas,Austin,Data Canopy - Austin Waller,Data Canopy,,"501 Waller St, Austin, Texas 78702",2 MW,"21,000 sq.f.",2004
USA,Texas,Austin,Blueprint Taylor DC,Blueprint Data Centers,Planned,"1601 E M.L.K. Jr Blvd, Taylor, Texas 76574",60 MW,135000 sq.f.,
USA,Texas,Austin,Skybox Round Rock,Skybox Datacenters,Planned,"2501-2701 E Old Settlers Blvd, Round Rock, Texas 78665",75 MW,250000 sq.f.,
USA,Texas,Austin,Tract Uhland,Tract,Land Banked,"Farm to Market Road 2720, Uhland, Texas 78640",,,
USA,Texas,Austin,7500 Metro Center Drive (AUS11),Digital Realty,,"7500 Metro Center Drive, Austin, Texas 78744",4.2 MW,"31,600 sq.f.",2001
USA,Texas,Austin,Skybox Austin,Skybox Datacenters,,"600 New Meister Ln, Pflugerville, Texas 78660",30 MW,"53,245 sq.f.",
USA,Texas,Austin,Blueprint Georgetown DC,Blueprint Data Centers,Planned,"1201 Westinghouse Rd, Georgetown, Texas 78626",25 MW,45000 sq.f.,
USA,Texas,Austin,Iron Mountain Data Centers Hutto-5,Iron Mountain Data Centers,Planned,"County Rd 404, Hutto, Texas 76574",,,
USA,Texas,Austin,Colovore Hutto,Colovore,Planned,"2351 Innovation Blvd, Hutto, Texas 78634",,180000 sq.f.,
USA,Texas,Austin,Core Scientific Austin,Core Scientific,,"3301 Hibbetts Rd, Austin, Texas 78725",16 MW,"118,000 sq.f.",2024
USA,Texas,Austin,Iron Mountain Data Centers Hutto-3,Iron Mountain Data Centers,Planned,"County Rd 404, Hutto, Texas 76574",,,
USA,Texas,Austin,CyrusOne AUS2 - Austin,CyrusOne Data Centers,,"7301 Metropolis Dr, Bldg #6, Austin, Texas 78703",9 MW,"41,000 sq.f.",
USA,Texas,Austin,Element Critical Austin One,Element Critical,,"8025 North Interstate Hwy 35, Austin, Texas 78753",5 MW,"62,300 sq.f.",
USA,Texas,Austin,DataBank AUS1 - Austin,DataBank,,"7218 McNeil Dr, Suite 300, Austin, Texas 78729",0.405 MW,"7,870 sq.f.",
USA,Texas,Austin,EdgeConneX Austin - EDCAUS02,EdgeConneX,Planned,"8001 Wolf Ln, Cedar Creek, Texas 78612",240 MW,,
USA,Texas,Austin,Connect Temple,Connect Data Centers by Oppidan,Planned,"2325 Eberhardt Rd, Temple, Texas 76504",5 MW,61500 sq.f.,2026
USA,Texas,Austin,Lumen Austin 2,Lumen,,"1825-A Kramer Lane, Austin, Texas 78758",,,
USA,Texas,Austin,SDC Austin Campus,Sabey Data Center Properties LLC,,"1300 Louis Henna Blvd, Round Rock, Texas 78664",84 MW,430000 sq.f.,
USA,Texas,Austin,Project Hutto,Zydeco Development,Planned,"Co Rd 119 & Limmer Loop, Hutto, Texas 78634",70 MW,,
USA,Texas,Austin,Data Foundry - Texas 1,Data Foundry,,"4100 Smith School Road, Bldg 1, Austin, Texas 78744",24 MW,130000 sq.f.,2011
USA,Texas,Austin,SDC San Marcos,Sabey Data Center Properties LLC,Planned,"Center Point Rd & S Old Bastrop Hwy, San Marcos, Texas 78666",,,
USA,Texas,Austin,Prime Austin,Prime Data Centers,Land Banked,"FM2720 & Bobwhite Rd, Maxwell, Texas 78656",,,
USA,Texas,Austin,Iron Mountain Data Centers Hutto-6,Iron Mountain Data Centers,Planned,"County Rd 404, Hutto, Texas 76574",,,
USA,Texas,Austin,Iron Mountain Data Centers Hutto-7,Iron Mountain Data Centers,Planned,"County Rd 404, Hutto, Texas 76574",,,
USA,Texas,The Woodlands,Optiquest Datacenter,Optimum Computer Solutions (OCS),,"780 Westridge Dr, Spring, Texas 77380",,,
USA,Texas,San Angelo,"SANG-TX (San Angelo, Texas)",Cloudnium LLC.,,"2701 S Johnson St., San Angelo, Texas 76904",7.8 MW,,2023
USA,Texas,San Angelo,Skybox San Angelo,Skybox Datacenters,Planned,"North US Highway 67, San Angelo, Texas 76905",,,
USA,Texas,Bryan,"FIBERTOWN - Bryan, Texas",FIBERTOWN,,"110 North Main, Bryan, Texas 77803",,"25,000 sq.f.",1997
USA,Texas,Tyler,Tyler Vault Data Center,Tyler Vault.com,,"110 N College Ave, Tyler, Texas 75702",,"1,100 sq.f.",
USA,Texas,Tyler,Barrio Energy - Tyler,Barrio Energy,Under Construction,"1105 W Erwin St, Tyler, Texas 75702",12 MW,,
USA,Texas,Sweetwater,IREN Sweetwater 2,IREN (Iris Energy),Under Construction,"1782 Farm-to-Market 540, Hamlin, Texas 79520",600 MW,,
USA,Texas,Sweetwater,IREN Sweetwater 1,IREN (Iris Energy),Under Construction,"883 Farm-to-Market 611, Sweetwater, Texas 79556",1400 MW,,
USA,Texas,Nacogdoches,NacSpace Data Center,NacSpace.com,,"2400 North Stallings Drive, Nacogdoches, Texas 75964",,,
USA,Texas,Dallas,1502 Ferris Rd,Digital Realty,Planned,"1502 Ferris Rd, Garland, Texas 75044",8 MW,"410,000 sq.f.",
USA,Texas,Dallas,ACS Fort Worth - Building A,Grupo ACS,Planned,"10121 Hicks Field Rd, Fort Worth, Texas 76179",,,
USA,Texas,Dallas,Rackspace Dallas 2,Rackspace Hosting,,"1215 Integrity Drive, Richardson, Texas 75081",14 MW,"56,179 sq.f.",
USA,Texas,Dallas,Skybox Atlantic Station,Skybox Datacenters,,"2300 W Plano Pkwy, Plano, Texas 75075",100 MW,,
USA,Texas,Dallas,Lumen Dallas,Lumen,,"3180 Irving Blvd., Dallas, Texas 75247",,,
USA,Texas,Dallas,907 Security Row (DFW35),Digital Realty,,"907 Security Row, Richardson, Texas 75081",9.6 MW,"50,800 sq.f.",2014
USA,Texas,Dallas,ColoCrossing DFW1,ColoCrossing,,"3004 Irving Blvd, Dallas, Texas 75247",11.1 MW,"64,000 sq.f.",2000
USA,Texas,Dallas,Epic.io Dallas Data Center,Epic.io,,"1526 Viceroy Dr, Dallas, Texas 75235",,,
USA,Texas,Dallas,STACK Infrastructure,STACK INFRASTRUCTURE,,"1950 N Stemmons Freeway, Dallas, Texas 75207",,,
USA,Texas,Dallas,Lumen Dallas 2,Lumen,,"1950 Stemmons Freeway, Dallas, Texas 75207",,,
USA,Texas,Dallas,Edged Dallas-Fort Worth DFW01-1,Edged Energy,,"505 N Wildwood Dr, Irving, Texas 75061",24 MW,162545 sq.f.,2025
USA,Texas,Dallas,Aligned DFW-04,Aligned Data Centers,Planned,"601 North Star Rd, Plano, Texas 75074",,425500 sq.f.,
USA,Texas,Dallas,Alpha Data Center,M&A Technology Inc.,,"4407 Alpha Road, Dallas, Texas 75244",2 MW,"6,500 sq.f.",2005
USA,Texas,Dallas,4099 Hereford Street,Frasier Cole,Land Banked,"4099 Hereford St, Glen Rose, Texas 76043",,,
USA,Texas,Dallas,8435 Stemmons Freeway (DFW36),Digital Realty,,"8435 Stemmons Freeway, Dallas, Texas 75247",1.2 MW,"11,000 sq.f.",2008
USA,Texas,Dallas,STACK Infrastructure DFW02 Campus,STACK INFRASTRUCTURE,Under Construction,"E Belt Line Road, Lancaster, Texas 75146",216 MW,,
USA,Texas,Dallas,Google Midlothian Campus,Google,,"3441 Railport Pkwy, Midlothian, Texas 76065",,,2019
USA,Texas,Dallas,Edged Dallas-Fort Worth DFW01 Campus,Edged Energy,,"505 N Wildwood Dr, Irving, Texas 75061",,,
USA,Texas,Dallas,Equinix DA12-1,Equinix,Planned,"1550 W Mockingbird Ln, Dallas, Texas 75235",,,2027
USA,Texas,Dallas,IBM DAL04,IBM,,"400 Akard St, Dallas, Texas 75202",,,
USA,Texas,Dallas,Csquare - Dallas DFW1,Csquare,,"14901 FAA Blvd, Fort Worth, Texas 76155",,"189,000 sq.f.",
USA,Texas,Dallas,Lincoln Red Oak Campus,Lincoln Property Company,Planned,"Texas along the newly opened Loop 9 highway, Red Oak, Texas 75154",540 MW,"800,000 sq.f.",
USA,Texas,Dallas,Equinix DA2,Equinix,,"1950 North Stemmons Freeway, Suite 2027, Dallas, Texas 75207",,"24,541 sq.f.",
USA,Texas,Dallas,DataBank Red Oak Campus,DataBank,Planned,"Batchler Rd & Stainback Rd, Red Oak, Texas 75154",,,
USA,Texas,Dallas,Lumen Dallas,Lumen,,"1150 Regal Row, Dallas, Texas 75247",,,
USA,Texas,Dallas,Prime Dallas - Data Center 2,Prime Data Centers,Planned,"1517 Round Table, Dallas, Texas 75247",12 MW,"34,400 sq.f.",
USA,Texas,Dallas,GDC - Dallas TX1 Data Center,"NTT DATA, Inc.",,"2008 Lookout Drive, Garland, Texas 75044",16 MW,"230,000 sq.f.",2017
USA,Texas,Dallas,DataBank DFW11 - Red Oak,DataBank,Planned,"Batchler Rd & Stainback Rd, Red Oak, Texas 75154",,,
USA,Texas,Dallas,DataBank DFW2 - North Dallas,DataBank,,"904 Quality Way, Dallas, Texas 75801",5.7 MW,"41,320 sq.f.",2013
USA,Texas,Dallas,1232 Alma Road (DFW16),Digital Realty,,"1232 Alma Road, Richardson, Texas 75081",6.7 MW,"49,900 sq.f.",
USA,Texas,Dallas,IBM DAL02/06,IBM,,"1333 North Stemmons Freeway, Suite 110, Dallas, Texas 75207",,,
